település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Nemeskisfalud;51;128;;;;;;;;;;;;;;;;;;;;;;;
Pásztori;116;407;;;;;;;;;;;;;;;;;;;;;;;
Ipolytölgyes;92;330;;;;;;;;;;;;;;;;;;;;;;;
Zsira;208;862;;;;;;;;;;;;;;;;;;;;;;;
Óföldeák;89;482;;;;;;;;;;;;;;;;;;;;;;;
Lad;109;592;;;;;;;;;;;;;;;;;;;;;;;
Tiszaug;170;937;;;;;;;;;;;;;;;;;;;;;;;
Dáka;114;646;;;;;;;;;;;;;;;;;;;;;;;
Külsővat;124;762;;;;;;;;;;;;;;;;;;;;;;;
Kőszegpaty;33;205;;;;;;;;;;;;;;;;;;;;;;;
Szőc;66;436;;;;;;;;;;;;;;;;;;;;;;;
Peresznye;92;630;;;;;;;;;;;;;;;;;;;;;;;
Porpác;20;137;;;;;;;;;;;;;;;;;;;;;;;
Irota;11;78;;;;;;;;;;;;;;;;;;;;;;;
Gic;51;363;;;;;;;;;;;;;;;;;;;;;;;
Hegyhátszentmárton;9;69;;;;;;;;;;;;;;;;;;;;;;;
Gacsály;124;1 031;;;;;;;;;;;;;;;;;;;;;;;
Pölöskefő;45;379;;;;;;;;;;;;;;;;;;;;;;;
Ivánc;78;678;;;;;;;;;;;;;;;;;;;;;;;
Zalabaksa;74;648;;;;;;;;;;;;;;;;;;;;;;;
Vasegerszeg;39;354;;;;;;;;;;;;;;;;;;;;;;;
Cserénfa;23;210;;;;;;;;;;;;;;;;;;;;;;;
Regöly;121;1 127;;;;;;;;;;;;;;;;;;;;;;;
Újiráz;57;532;;;;;;;;;;;;;;;;;;;;;;;
Csabrendek;322;3 051;;;;;;;;;;;;;;;;;;;;;;;
Felsőszenterzsébet;2;19;;;;;;;;;;;;;;;;;;;;;;;
Bikal;74;715;;;;;;;;;;;;;;;;;;;;;;;
Várgesztes;63;631;;;;;;;;;;;;;;;;;;;;;;;
Kincsesbánya;152;1 528;;;;;;;;;;;;;;;;;;;;;;;
Töltéstava;244;2 464;;;;;;;;;;;;;;;;;;;;;;;
Ludányhalászi;144;1 462;;;;;;;;;;;;;;;;;;;;;;;
Mozsgó;91;947;;;;;;;;;;;;;;;;;;;;;;;
Dör;59;619;;;;;;;;;;;;;;;;;;;;;;;
Pálfa;143;1 514;;;;;;;;;;;;;;;;;;;;;;;
Nagylózs;99;1 058;;;;;;;;;;;;;;;;;;;;;;;
Szentpéterfa;96;1 026;;;;;;;;;;;;;;;;;;;;;;;
