city;cases;pop;lat;lon;
Nemeskisfalud;51;128;46.4402514;17.3676659;
Pásztori;116;407;47.5572596;17.2725503;
Ipolytölgyes;92;330;47.9229018;18.7743978;
Zsira;208;862;47.4560444;16.6807707;
Óföldeák;89;482;46.2964366;20.4370303;
Lad;109;592;46.1396459;17.64575;
Tiszaug;170;937;46.8516867;20.0579352;
Dáka;114;646;23.810651;90.4126466;
Külsővat;124;762;47.2963155;17.225658;
Kőszegpaty;33;205;47.326931;16.6486698;
Szőc;66;436;47.0219189;17.5126083;
Peresznye;92;630;47.4245879;16.6477989;
Porpác;20;137;47.2419216;16.8021929;
Irota;11;78;48.3982274;20.8758762;
Gic;51;363;47.4308859;17.7496372;
Hegyhátszentmárton;9;69;46.9349943;16.479988;
Gacsály;124;1031;47.930888;22.7567922;
Pölöskefő;45;379;46.6026674;16.9468304;
Ivánc;78;678;46.9393738;16.4983823;
Zalabaksa;74;648;46.7068048;16.5522561;
Vasegerszeg;39;354;47.3729793;16.9207793;
Cserénfa;23;210;46.3108329;17.8830471;
Regöly;121;1127;46.5786721;18.3904744;
Újiráz;57;532;46.9850442;21.3534102;
Csabrendek;322;3051;47.0131804;17.2895632;
Felsőszenterzsébet;2;19;46.7525821;16.4551361;
Bikal;74;715;46.331567;18.2848108;
Várgesztes;63;631;47.4723494;18.3971059;
Kincsesbánya;152;1528;47.2644597;18.2739108;
Töltéstava;244;2464;47.6269367;17.7342499;
Ludányhalászi;144;1462;48.1346794;19.5242934;
Mozsgó;91;947;46.1111174;17.8443144;
Dör;59;619;47.5979397;17.2987399;
Pálfa;143;1514;46.7158855;18.6157181;
Nagylózs;99;1058;47.5669714;16.7703934;
Szentpéterfa;96;1026;47.0920255;16.4803941;
Kékkút;7;75;46.8506689;17.5599206;
Görcsöny;143;1546;45.9696057;18.1354282;
Drávatamási;35;387;45.939854;17.5714213;
Lipót;68;752;47.8613435;17.4616155;
Jobaháza;50;555;47.5817526;17.1864967;
Gyönk;159;1766;46.5553541;18.4783275;
Gara;202;2258;43.95995;4.297637002377168;
Vése;65;735;46.4118616;17.2911965;
Husztót;6;68;46.1719933;18.0926954;
Illocska;23;261;45.800773;18.5222663;
Vát;59;670;47.282993;16.7758269;
Bercel;153;1738;47.8698475;19.4035193;
Szente;29;330;47.9678151;19.2865515;
Szentgyörgyvölgy;34;393;46.7245868;16.4107756;
Bozzai;25;289;47.2073309;16.7652737;
Hejőbába;166;1921;47.9050679;20.944753;
Pápakovácsi;48;566;47.2656243;17.4860496;
Hegyfalu;64;755;47.3540143;16.8823363;
Tordas;177;2093;47.344615;18.7527252;
Szentbalázs;27;321;46.319168;17.8959647;
Balogunyom;97;1156;47.1557335;16.6518727;
Dunaalmás;135;1620;47.7334366;18.3351245;
Kisléta;148;1776;47.8340953;22.0034849;
Teresztenye;2;24;48.4464026;20.6047761;
Fertőszéplak;107;1286;47.6169895;16.8342909;
Felsőcsatár;39;473;47.2138553;16.4446605;
Olaszliszka;138;1687;48.2436306;21.4361913;
Tiszasas;88;1077;46.8211139;20.0799597;
Csákánydoroszló;141;1726;46.9752457;16.5046293;
Segesd;202;2497;46.1557381;24.768362;
Sármellék;149;1843;46.7080843;17.1682755;
Vámosmikola;123;1527;47.9774677;18.7841116;
Ellend;19;236;46.0591112;18.3758229;
Nagygeresd;22;274;47.3948689;16.9322219;
Bácsborsód;92;1154;46.0974022;19.1583982;
Varsány;127;1594;48.0388158;19.4902093;
Ágfalva;188;2370;47.6905324;16.5137872;
Ópusztaszer;170;2153;46.4971782;20.0641986;
Dunaszentmiklós;39;498;47.7043878;18.3812859;
Szalafő;16;205;46.865519;16.3635907;
Zalaapáti;132;1693;46.7391546;17.1057152;
Bakonyszentiván;18;232;47.3907201;17.6718144;
Csókakő;113;1460;47.3563896;18.2757791;
Acsád;51;660;47.3229798;16.7341853;
Törökkoppány;31;402;46.6013936;18.0506298;
Patvarc;57;743;48.0654361;19.3483753;
Uraiújfalu;64;835;47.371219;16.9839631;
Csatár;40;523;46.7769362;16.8637627;
Almáskeresztúr;6;79;46.11961;17.8945326;
Berente;87;1147;48.2318559;20.6645424;
Vajdácska;96;1272;48.319138;21.6542714;
Környe;355;4720;47.5475792;18.3318516;
Felsőpetény;45;599;47.88909;19.198011;
Vámoscsalád;23;307;47.3898168;16.9709168;
Püspökmolnári;65;868;47.0909745;16.7964636;
Bóly;282;3772;45.9692795;18.5161494;
Sajósenye;30;406;48.1957091;20.8198577;
Nemesbőd;47;637;47.2689446;16.735433;
Patosfa;19;258;46.1280182;17.6662853;
Rábapordány;72;982;47.5569204;17.3228724;
Seregélyes;326;4448;46.7008635;23.6634881;
Győrtelek;127;1733;47.9284221;22.4406866;
Borsodgeszt;22;301;47.9576367;20.6932303;
Nemeskolta;27;371;47.1409175;16.7716183;
Kétbodony;33;455;47.9354371;19.284937;
Nagyberki;105;1450;46.3574714;18.0074126;
Kemeneshőgyész;35;484;47.3549629;17.298177;
Cserhátszentiván;8;111;47.9398734;19.5802698;
Kazár;126;1757;48.0503365;19.8544997;
Mersevát;42;590;47.289461;17.2049535;
Horvátlövő;14;197;47.1802484;16.4615113;
Alap;139;1956;46.8044751;18.6854298;
Letenye;287;4045;46.433204;16.7230843;
Bögöt;28;396;47.2520154;16.8294953;
Keménfa;6;85;46.8397543;16.6376338;
Zalaszentlászló;58;822;46.8757689;17.1121849;
Hagyárosbörönd;21;298;46.9104388;16.7045547;
Farkasgyepű;26;370;47.2038416;17.6307266;
Alsószenterzsébet;4;57;46.7452636;16.4772901;
Bánd;49;699;47.1220366;17.7795783;
Dötk;3;43;46.942907;17.0069526;
Szerep;109;1569;47.2274297;21.1410165;
Ipolyszög;44;635;48.0546144;19.2318454;
Romhány;151;2184;47.9215061;19.2590383;
Kisunyom;31;452;47.1470648;16.6414748;
Tiszaújváros;1135;16577;47.9280341;21.0467056;
Hollókő;22;323;47.9974741;19.5915708;
Boncodfölde;23;339;46.8686498;16.7384437;
Vaskeresztes;23;339;47.1939865;16.4486687;
Kerkafalva;8;118;46.7731901;16.4850401;
Abasár;168;2482;47.7947098;20.00018;
Mezőszilas;143;2118;46.8158361;18.4749938;
